Date,亞歐基金_Price
2016/09/18,137.97
2016/09/19,137.27
2016/09/20,137.97
2016/09/21,139.89
2016/09/22,141.19
2016/09/23,140.07
2016/09/24,140.07
2016/09/25,140.07
2016/09/26,138.74
2016/09/27,139.48
2016/09/28,140.31
2016/09/29,139.15
2016/09/30,139.35
2016/10/01,139.35
2016/10/02,139.35
2016/10/03,139.45
2016/10/04,139.56
2016/10/05,140.14
2016/10/06,139.8
2016/10/07,139.14
2016/10/08,139.14
2016/10/09,139.14
2016/10/10,139.14
2016/10/11,137.49
2016/10/12,137.11
2016/10/13,136.26
2016/10/14,136.69
2016/10/15,136.69
2016/10/16,136.69
2016/10/17,136.13
2016/10/18,137.62
2016/10/19,137.78
2016/10/20,138.07
2016/10/21,138.07
2016/10/22,138.07
2016/10/23,138.07
2016/10/24,138.11
2016/10/25,137.97
2016/10/26,137.17
2016/10/27,136.77
2016/10/28,136.54
2016/10/29,136.54
2016/10/30,136.54
2016/10/31,136.55
2016/11/01,136.34
2016/11/02,135.25
2016/11/03,135.01
2016/11/04,133.93
2016/11/05,133.93
2016/11/06,133.93
2016/11/07,135.56
2016/11/08,135.9
2016/11/09,135.41
2016/11/10,135.69
2016/11/11,134.64
2016/11/12,134.64
2016/11/13,134.64
2016/11/14,133.67
2016/11/15,134.25
2016/11/16,133.15
2016/11/17,133.81
2016/11/18,132.74
2016/11/19,132.74
2016/11/20,132.74
2016/11/21,133.73
2016/11/22,134.42
2016/11/23,134.05
2016/11/24,133.86
2016/11/25,134.37
2016/11/26,134.37
2016/11/27,134.37
2016/11/28,133.93
2016/11/29,134.47
2016/11/30,134.48
2016/12/01,134.19
2016/12/02,134.01
2016/12/03,134.01
2016/12/04,134.01
2016/12/05,134.96
2016/12/06,135.88
2016/12/07,137.65
2016/12/08,137.55
2016/12/09,137.96
2016/12/10,137.96
2016/12/11,137.96
2016/12/12,137.0
2016/12/13,138.21
2016/12/14,136.64
2016/12/15,135.87
2016/12/16,135.98
2016/12/17,135.98
2016/12/18,135.98
2016/12/19,135.58
2016/12/20,135.83
2016/12/21,135.6
2016/12/22,135.17
2016/12/23,135.32
2016/12/24,135.32
2016/12/25,135.32
2016/12/26,135.32
2016/12/27,135.32
2016/12/28,134.86
2016/12/29,135.23
2016/12/30,135.77
2016/12/31,135.77
2017/01/01,135.77
2017/01/02,135.77
2017/01/03,136.7
2017/01/04,137.91
2017/01/05,139.2
2017/01/06,138.9
2017/01/07,138.9
2017/01/08,138.9
2017/01/09,138.86
2017/01/10,139.0
2017/01/11,139.88
2017/01/12,139.98
2017/01/13,140.45
2017/01/14,140.45
2017/01/15,140.45
2017/01/16,140.2
2017/01/17,139.99
2017/01/18,139.94
2017/01/19,139.67
2017/01/20,140.12
2017/01/21,140.12
2017/01/22,140.12
2017/01/23,140.32
2017/01/24,140.66
2017/01/25,141.94
2017/01/26,141.95
2017/01/27,141.77
2017/01/28,141.77
2017/01/29,141.77
2017/01/30,141.77
2017/01/31,141.77
2017/02/01,141.52
2017/02/02,141.39
2017/02/03,141.69
2017/02/04,141.69
