Date,富達增長基金_Price
2013/06/12,105.01
2013/06/13,104.07
2013/06/14,104.44
2013/06/15,104.44
2013/06/16,104.44
2013/06/17,105.44
2013/06/18,105.62
2013/06/19,105.34
2013/06/20,101.97
2013/06/21,101.59
2013/06/22,101.59
2013/06/23,101.59
2013/06/24,99.71
2013/06/25,99.98
2013/06/26,101.29
2013/06/27,102.22
2013/06/28,103.15
2013/06/29,103.15
2013/06/30,103.15
2013/07/01,103.15
2013/07/02,103.6
2013/07/03,102.47
2013/07/04,103.12
2013/07/05,103.58
2013/07/06,103.58
2013/07/07,103.58
2013/07/08,103.29
2013/07/09,104.03
2013/07/10,104.49
2013/07/11,106.53
2013/07/12,106.43
2013/07/13,106.43
2013/07/14,106.43
2013/07/15,106.51
2013/07/16,106.78
2013/07/17,106.87
2013/07/18,107.05
2013/07/19,106.96
2013/07/20,106.96
2013/07/21,106.96
2013/07/22,107.31
2013/07/23,108.15
2013/07/24,108.33
2013/07/25,108.14
2013/07/26,107.95
2013/07/27,107.95
2013/07/28,107.95
2013/07/29,107.09
2013/07/30,107.37
2013/07/31,107.18
2013/08/01,108.29
2013/08/02,109.31
2013/08/03,109.31
2013/08/04,109.31
2013/08/05,109.2
2013/08/06,108.82
2013/08/07,107.79
2013/08/08,108.06
2013/08/09,108.25
2013/08/10,108.25
2013/08/11,108.25
2013/08/12,108.6
2013/08/13,109.33
2013/08/14,109.33
2013/08/15,108.77
2013/08/16,108.67
2013/08/17,108.67
2013/08/18,108.67
2013/08/19,108.29
2013/08/20,107.07
2013/08/21,106.51
2013/08/22,106.69
2013/08/23,107.34
2013/08/24,107.34
2013/08/25,107.34
2013/08/26,107.42
2013/08/27,106.29
2013/08/28,105.17
2013/08/29,105.72
2013/08/30,105.53
2013/08/31,105.53
2013/09/01,105.53
2013/09/02,106.54
2013/09/03,107.28
2013/09/04,107.55
2013/09/05,108.11
2013/09/06,108.29
2013/09/07,108.29
2013/09/08,108.29
2013/09/09,109.21
2013/09/10,110.32
2013/09/11,110.4
2013/09/12,110.4
2013/09/13,110.21
2013/09/14,110.21
2013/09/15,110.21
2013/09/16,111.4
2013/09/17,111.21
2013/09/18,111.58
2013/09/19,112.97
2013/09/20,112.97
2013/09/21,112.97
2013/09/22,112.97
2013/09/23,112.3
2013/09/24,111.92
2013/09/25,111.91
2013/09/26,111.91
2013/09/27,112.09
2013/09/28,112.09
2013/09/29,112.09
2013/09/30,110.87
2013/10/01,110.87
2013/10/02,111.41
2013/10/03,111.69
2013/10/04,111.68
2013/10/05,111.68
2013/10/06,111.68
2013/10/07,110.92
2013/10/08,110.82
2013/10/09,110.45
2013/10/10,111.18
2013/10/11,112.29
2013/10/12,112.29
2013/10/13,112.29
2013/10/14,112.29
2013/10/15,112.45
2013/10/16,112.45
2013/10/17,113.18
2013/10/18,114.11
2013/10/19,114.11
2013/10/20,114.11
