Date,中港基金_Price
2017/04/22,141.04
2017/04/23,141.04
2017/04/24,141.9
2017/04/25,143.72
2017/04/26,144.32
2017/04/27,144.93
2017/04/28,144.61
2017/04/29,144.61
2017/04/30,144.61
2017/05/01,144.61
2017/05/02,144.43
2017/05/03,144.43
2017/05/04,144.67
2017/05/05,143.01
2017/05/06,143.01
2017/05/07,143.01
2017/05/08,143.66
2017/05/09,145.41
2017/05/10,146.09
2017/05/11,146.89
2017/05/12,147.21
2017/05/13,147.21
2017/05/14,147.21
2017/05/15,148.77
2017/05/16,148.77
2017/05/17,148.68
2017/05/18,147.39
2017/05/19,147.62
2017/05/20,147.62
2017/05/21,147.62
2017/05/22,148.82
2017/05/23,149.1
2017/05/24,148.89
2017/05/25,150.24
2017/05/26,150.55
2017/05/27,150.55
2017/05/28,150.55
2017/05/29,151.09
2017/05/30,151.09
2017/05/31,151.14
2017/06/01,151.11
2017/06/02,152.4
2017/06/03,152.4
2017/06/04,152.4
2017/06/05,152.0
2017/06/06,152.54
2017/06/07,152.54
2017/06/08,153.14
2017/06/09,152.91
2017/06/10,152.91
2017/06/11,152.91
2017/06/12,151.5
2017/06/13,152.09
2017/06/14,152.06
2017/06/15,150.26
2017/06/16,150.51
2017/06/17,150.51
2017/06/18,150.51
2017/06/19,152.29
2017/06/20,151.68
2017/06/21,150.78
2017/06/22,151.41
2017/06/23,151.73
2017/06/24,151.73
2017/06/25,151.73
2017/06/26,152.46
2017/06/27,152.14
2017/06/28,151.74
2017/06/29,152.55
2017/06/30,151.94
2017/07/01,151.94
2017/07/02,151.94
2017/07/03,152.18
2017/07/04,150.79
2017/07/05,151.42
2017/07/06,151.78
2017/07/07,150.78
2017/07/08,150.78
2017/07/09,150.78
2017/07/10,151.44
2017/07/11,153.88
2017/07/12,154.85
2017/07/13,156.71
2017/07/14,157.02
2017/07/15,157.02
2017/07/16,157.02
2017/07/17,157.62
2017/07/18,157.58
2017/07/19,158.53
2017/07/20,158.79
2017/07/21,158.88
2017/07/22,158.88
